Status: 15.11.2023,,,Substation_1,,Longitude_Substation_1,Latitude_Substation_1,Substation_2,,Longitude_Substation_2,Latitude_Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Short_name,,,Full_name,Short_name,,,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
Förderstedt - Jessen/Nord 533,11T0-0000-0042-6,50HERTZ,Förderstedt,D8FOE_1,11.6442,51.9085,Jessen/Nord,D8JSN_1,13.0584,51.8,380,,,,,,,2520,,,3.25,30.49,527.096,117.50,
Lauchstädt - Wolmirstedt 535,11TD8L535------D,50HERTZ,Lauchstädt,D8LAU_1,11.891,51.4054,Wolmirstedt,D8WOL_1,11.639,52.2693,380,,,,,,,2520,,,5.43,40.69,676.699,155.36,
Wolmirstedt - Klostermansfeld 536,11TD8L536------5,50HERTZ,Wolmirstedt,D8WOL_1,11.639,52.2693,Klostermansfeld,D8KLM_1,11.5151,51.5846,380,,,,,,,2520,,,3.88,30.28,504.006,117.19,
Klostermansfeld - Lauchstädt 538,11TD8L538------Q,50HERTZ,Klostermansfeld,D8KLM_1,11.5151,51.5846,Lauchstädt,D8LAU_1,11.891,51.4054,380,,,,,,,2500,,,1.38,10.08,169.615,38.77,
Ragow - Preilack 539,11TD8L539------I,50HERTZ,Ragow,D8RAG_1,13.9057,51.876,Preilack,D8PRL_1,14.4286,51.8881,380,,,,,,,2280,,,1.35,10.83,191.574,43.16,
Ragow - Preilack 540,11TD8L540------7,50HERTZ,Ragow,D8RAG_1,13.9057,51.876,Preilack,D8PRL_1,14.4286,51.8881,380,,,,,,,2280,,,1.35,10.83,191.574,43.16,
Graustein - Preilack 541,11TD8L541-----0Y,50HERTZ,Graustein,D8GRS_1,14.4692,51.5544,Preilack,D8PRL_1,14.4286,51.8881,380,,,,,,,2000,,,2.01,15.87,269.140,62.46,
Graustein - Preilack 542,11TD8L542------S,50HERTZ,Graustein,D8GRS_1,14.4692,51.5544,Preilack,D8PRL_1,14.4286,51.8881,380,,,,,,,2000,,,2.01,15.87,269.140,62.46,
Bentwisch - Güstrow 543,11TD8L543------K,50HERTZ,Bentwisch,D8BW__1,12.214,54.0998,Güstrow,D8GUE_1,12.186,53.816,380,,,,,,,2720,,,0.91,9.00,157.331,35.56,
Bentwisch - Güstrow 544,11TD8L544------C,50HERTZ,Bentwisch,D8BW__1,12.214,54.0998,Güstrow,D8GUE_1,12.186,53.816,380,,,,,,,2720,,,0.91,9.00,157.331,35.56,
Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 547-3,11TD8L547------P,50HERTZ,Eisenhüttenstadt (Abzweig),D8EHH_1,14.5112,52.1616,Eisenhüttenstadt,D8EH__1,14.6052,52.1752,380,,,,,,,1200,,,0.50,1.82,34.620,7.53,
Eisenhüttenstadt (Abzweig) - Preilack 547-2,11TD8L547------P,50HERTZ,Eisenhüttenstadt (Abzweig),D8EHH_1,14.5112,52.1616,Preilack,D8PRL_1,14.4286,51.8881,380,,,,,,,2280,,,1.42,9.63,170.871,38.48,
Eisenhüttenstadt (Abzweig) - Neuenhagen 547-1,11TD8L547------P,50HERTZ,Eisenhüttenstadt (Abzweig),D8EHH_1,14.5112,52.1616,Neuenhagen,D8NHG_1,13.7047,52.5384,380,,,,,,,2280,,,3.22,21.79,404.009,87.01,
Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 548-3,11T0000000000023,50HERTZ,Eisenhüttenstadt (Abzweig),D8EHH_1,14.5112,52.1616,Eisenhüttenstadt,D8EH__1,14.6052,52.1752,380,,,,,,,1200,,,0.50,1.82,34.620,7.53,
Eisenhüttenstadt (Abzweig) - Preilack 548-2,11T0000000000023,50HERTZ,Eisenhüttenstadt (Abzweig),D8EHH_1,14.5112,52.1616,Preilack,D8PRL_1,14.4286,51.8881,380,,,,,,,2280,,,1.42,9.63,170.871,38.48,
Heinersdorf - Neuenhagen 444,11T0000000000015,50HERTZ,Heinersdorf,D8HND_1,14.1372,52.4426,Neuenhagen,D8NHG_1,13.7047,52.5384,380,,,,,,,2280,,,1.54,10.45,185.071,41.71,
Eisenhüttenstadt (Abzweig) - Heinersdorf 548-4,11T0000000000023,50HERTZ,Eisenhüttenstadt (Abzweig),D8EHH_1,14.5112,52.1616,Heinersdorf,D8HND_1,14.1372,52.4426,380,,,,,,,2280,,,1.67,11.33,200.748,45.25,
Bärwalde - Schmölln 551,11TD8L551------R,50HERTZ,Bärwalde,D8BAE_1,14.5074,51.4134,Schmölln,D8SM__1,14.2193,51.1205,380,,,,,,,3600,,,0.74,11.51,218.969,45.91,
Bärwalde - Schmölln 552,11TD8L552------J,50HERTZ,Bärwalde,D8BAE_1,14.5074,51.4134,Schmölln,D8SM__1,14.2193,51.1205,380,,,,,,,3600,,,0.74,11.51,218.969,45.91,
Hagenwerder - Schmölln 553,11TD8L553------B,50HERTZ,Hagenwerder,D8HGW_1,14.9462,51.0621,Schmölln,D8SM__1,14.2193,51.1205,380,,,,,,,2500,,,1.65,14.50,252.301,56.66,
